Size,Filters,Threads,Naive,OpenMP,Img2col_S,Img2col_OMP
512,128,8,2.3344056666666666,0.6139006666666668,1.8888786666666668,0.4568756666666667
512,128,12,2.856089,0.6436456666666667,2.0712463333333333,0.463655
512,512,1,9.721915333333333,10.060223,8.467699333333334,7.877869333333334
512,512,2,10.417288,6.122431333333334,8.962390666666666,5.176116333333334
512,512,4,10.500096333333333,4.021844333333333,8.95333,3.226717666666667
512,512,8,9.718082,2.587398,8.086953,1.9047083333333334
512,512,12,9.686201666666667,2.266621,8.377401999999998,1.7334863333333332
1024,32,1,2.5845473333333335,2.597388333333333,2.1295336666666667,1.947087
1024,32,2,2.444334,1.4591216666666667,2.007267666666667,1.2922603333333333
1024,32,4,2.4876253333333334,1.0300746666666665,2.126611,0.8433230000000002
1024,32,8,2.695574333333333,0.73801,2.225615,0.5697530000000001
1024,32,12,2.676031333333333,0.614231,2.159804333333333,0.5267263333333334
1024,64,1,5.339882666666667,5.266347333333333,4.166114666666666,3.834255666666667
1024,64,2,5.371230333333334,3.1053366666666666,4.207435666666666,2.4294990000000003
1024,64,4,5.370949666666665,2.000758,4.154922666666667,1.6059126666666668
1024,64,8,4.848944666666667,1.2732496666666666,3.7618656666666666,0.9683456666666667
1024,64,12,4.941234666666666,1.1784466666666669,4.259593333333333,0.935596
1024,128,1,10.776581,11.825256,8.782129,7.987295666666667
1024,128,2,11.572908666666669,6.5031593333333335,8.868968666666667,4.912176333333334
1024,128,4,11.418341666666668,4.135386666666666,8.639927,2.836990666666667
1024,128,8,10.342451666666667,2.5686073333333335,7.910200333333333,1.850979
1024,128,12,10.864772666666667,2.4287996666666665,8.397714,1.741485
1024,512,1,146.502165,141.952011,92.520664,84.423178
1024,512,2,120.68921066666667,51.66117500000001,83.50342866666666,40.972052
1024,512,4,150.32786,47.354124,122.69127666666667,42.189688
1024,512,8,176.12307,29.402889333333334,124.52655166666666,22.952507
1024,512,12,185.26003166666666,28.858086,127.31859066666668,20.725393
