Size,Filters,Threads,Schedule,Chunk,Naive,OpenMP,Img2col_S,Img2col_OMP
128,64,12,static,16,0.07602566666666667,0.035404333333333336,0.06213133333333334,0.021989666666666668
128,64,12,static,32,0.07646766666666667,0.031733333333333336,0.060637666666666666,0.019230333333333332
128,128,1,dynamic,1,0.148363,0.19811533333333334,0.111382,0.163532
128,128,1,dynamic,2,0.14996,0.168933,0.11622616666666669,0.1317741666666667
128,128,1,dynamic,4,0.162158,0.195431,0.110653,0.141584
128,128,1,dynamic,8,0.14986349999999998,0.200649,0.1416085,0.166964
128,128,1,dynamic,16,0.16336733333333334,0.20506,0.169661,0.114963
128,128,1,dynamic,32,0.14429166666666668,0.14688366666666666,0.11505533333333333,0.108072
128,128,1,guided,1,0.145054,0.148222,0.11526,0.104911
128,128,1,guided,2,0.14654316666666664,0.1543425,0.1110765,0.1066265
128,128,1,guided,4,0.151384,0.15066116666666668,0.11093033333333334,0.10752400000000001
128,128,1,guided,8,0.14993766666666666,0.15596516666666668,0.1102795,0.1067015
128,128,1,guided,16,0.14830033333333334,0.15538766666666667,0.10978866666666666,0.10633533333333334
128,128,1,guided,32,0.154693,0.17948866666666666,0.13524966666666666,0.12300700000000002
128,128,1,static,1,0.15185766666666667,0.169332,0.111984,0.115055
128,128,1,static,2,0.14949849999999998,0.15953316666666667,0.11431016666666667,0.111572
128,128,1,static,4,0.15037,0.159814,0.11419599999999999,0.10877066666666667
128,128,1,static,8,0.14853466666666668,0.15292966666666666,0.11621583333333331,0.10572100000000001
128,128,1,static,16,0.15075533333333332,0.15253233333333333,0.11274766666666668,0.10647633333333333
128,128,1,static,32,0.148429,0.14881433333333335,0.11087399999999999,0.10530466666666667
128,128,2,dynamic,1,0.14531233333333335,0.16603666666666664,0.110299,0.137074
128,128,2,dynamic,2,0.151591,0.12404699999999999,0.11151816666666668,0.09586816666666666
128,128,2,dynamic,4,0.1497965,0.11662366666666667,0.11324933333333333,0.0858135
128,128,2,dynamic,8,0.14900983333333334,0.10125616666666666,0.11356,0.0812815
128,128,2,dynamic,16,0.14735399999999998,0.09754066666666666,0.11609799999999999,0.07903700000000001
128,128,2,dynamic,32,0.147479,0.11812,0.208919,0.110318
128,128,2,guided,1,0.149186,0.08838,0.115463,0.08009766666666666
128,128,2,guided,2,0.212754,0.11024199999999999,0.1595075,0.1090035
128,128,2,guided,4,0.147055,0.1007105,0.11111216666666668,0.06670183333333334
128,128,2,guided,8,0.14580550000000003,0.085976,0.11137383333333334,0.07647150000000001
128,128,2,guided,16,0.14568533333333333,0.092883,0.11085333333333335,0.06453500000000001
128,128,2,guided,32,0.14496166666666666,0.089765,0.11022966666666667,0.06826733333333333
128,128,2,static,1,0.159844,0.11162933333333332,0.13650766666666667,0.08556166666666666
128,128,2,static,2,0.1501355,0.10540216666666669,0.12129316666666666,0.0851615
128,128,2,static,4,0.14950966666666665,0.10769499999999999,0.1347545,0.080402
128,128,2,static,8,0.15216616666666666,0.09799816666666666,0.113567,0.0743085
128,128,2,static,16,0.14975733333333333,0.102401,0.11705833333333333,0.07736366666666666
128,128,2,static,32,0.149691,0.10688,0.114718,0.07940833333333334
128,128,4,dynamic,1,0.146155,0.09477866666666666,0.12566133333333332,0.08612866666666667
128,128,4,dynamic,2,0.1874565,0.08949299999999999,0.1288995,0.06487583333333334
128,128,4,dynamic,4,0.16254083333333333,0.06764316666666666,0.1238885,0.05626266666666666
128,128,4,dynamic,8,0.1501985,0.06373300000000001,0.12117733333333332,0.05103916666666667
128,128,4,dynamic,16,0.147832,0.060388,0.11412633333333333,0.047751999999999996
128,128,4,dynamic,32,0.14938966666666667,0.059816666666666664,0.11585733333333333,0.045301666666666664
128,128,4,guided,1,0.15696,0.07716966666666665,0.115399,0.047166999999999994
128,128,4,guided,2,0.15133083333333333,0.058726,0.11743183333333333,0.04281483333333334
128,128,4,guided,4,0.15005616666666668,0.0625005,0.11647083333333334,0.04333283333333333
128,128,4,guided,8,0.147088,0.055243,0.114487,0.04500316666666666
128,128,4,guided,16,0.14696466666666666,0.06058933333333333,0.11397033333333334,0.045885
128,128,4,guided,32,0.148564,0.06641999999999999,0.158924,0.051653
128,128,4,static,1,0.150305,0.071293,0.123197,0.050408
128,128,4,static,2,0.15538333333333335,0.06852433333333331,0.1187325,0.051519499999999996
128,128,4,static,4,0.15113,0.06777549999999999,0.11477833333333333,0.0550135
128,128,4,static,8,0.1575295,0.07194133333333334,0.11412033333333334,0.05412783333333334
128,128,4,static,16,0.151669,0.073526,0.164424,0.057034
128,128,4,static,32,0.21286733333333333,0.08488333333333335,0.17917266666666667,0.054879333333333336
128,128,8,dynamic,1,0.150104,0.08930566666666667,0.121487,0.07983566666666668
128,128,8,dynamic,2,0.16183999999999998,0.058771500000000004,0.12042616666666667,0.041944
128,128,8,dynamic,4,0.147209,0.04648549999999999,0.11542150000000001,0.032232000000000004
128,128,8,dynamic,8,0.14673466666666665,0.0383705,0.134514,0.0302075
128,128,8,dynamic,16,0.147486,0.038426,0.113641,0.028584333333333337
128,128,8,dynamic,32,0.155504,0.04101933333333333,0.11295200000000001,0.026518333333333335
128,128,8,guided,1,0.15117833333333333,0.044789999999999996,0.11597566666666666,0.027642666666666666
128,128,8,guided,2,0.14546599999999998,0.0427385,0.12274399999999999,0.027978
128,128,8,guided,4,0.1884775,0.046859,0.14727400000000002,0.030344000000000003
128,128,8,guided,8,0.19234800000000002,0.0427225,0.141227,0.029924
128,128,8,guided,16,0.152036,0.042163,0.125119,0.028107333333333335
128,128,8,guided,32,0.15492933333333334,0.040953,0.119103,0.028081333333333333
128,128,8,static,1,0.15356433333333333,0.04789933333333333,0.12391999999999999,0.03677866666666666
128,128,8,static,2,0.20946199999999998,0.046385,0.155437,0.032309500000000005
128,128,8,static,4,0.20289000000000001,0.04629066666666667,0.1529815,0.034144
128,128,8,static,8,0.146818,0.04476866666666667,0.1212685,0.031925499999999996
128,128,8,static,16,0.205948,0.043720666666666665,0.111973,0.02994166666666666
128,128,8,static,32,0.14641,0.044304333333333334,0.11817133333333334,0.031273333333333334
128,128,12,dynamic,1,0.19604933333333333,0.09508,0.15785866666666667,0.08215533333333333
128,128,12,dynamic,2,0.157779,0.059357,0.13314966666666667,0.04500266666666667
128,128,12,dynamic,4,0.151039,0.043472,0.12325599999999999,0.028450666666666666
128,128,12,dynamic,8,0.1691185,0.040419666666666666,0.1326725,0.025925999999999998
128,128,12,dynamic,16,0.150608,0.040563666666666665,0.127704,0.029287
128,128,12,dynamic,32,0.24416566666666664,0.047327666666666664,0.19631933333333332,0.03569133333333333
128,128,12,guided,1,0.17487,0.048211,0.17559166666666667,0.030666
128,128,12,guided,2,0.16696,0.053333000000000005,0.16477999999999998,0.0323665
128,128,12,guided,4,0.17396099999999998,0.041381,0.1291685,0.0261935
